load_kg,feedforward,sq,abd_fd_nominal_x,abd_fd_composed_x,abd_command_x,abd_candidate_x,abd_residual_x,abd_bias_slope_deg_per_phase,abd_bias_rate_rad_s,tho_fd_nominal_x,tho_fd_composed_x,tho_command_x,tho_candidate_x,tho_residual_x,tho_bias_slope_deg_per_phase,tho_bias_rate_rad_s
0,0,0.2100,0.071488,0.017872,0.069242,0.017872,0.051370,-10.2400,-0.053617,0.107185,0.085403,0.103815,0.085403,0.018412,-4.1600,-0.021782
0,0,0.2130,0.069242,0.015625,0.069242,0.015626,0.053617,-10.2400,-0.053617,0.103815,0.082033,0.103815,0.082033,0.021782,-4.1600,-0.021782
0,0,0.2160,0.069242,0.015626,0.069242,0.015625,0.053616,-10.2400,-0.053617,0.103815,0.082033,0.103815,0.082033,0.021781,-4.1600,-0.021782
0,0,0.2190,0.067605,0.013989,0.069242,0.013989,0.055253,-10.2400,-0.053617,0.101359,0.079577,0.103815,0.079577,0.024238,-4.1600,-0.021782
0,0,0.2220,0.065149,0.011533,0.064331,0.011533,0.052798,-10.2400,-0.053617,0.097676,0.075894,0.096448,0.075894,0.020554,-4.1600,-0.021782
0,0,0.2250,0.064331,0.010714,0.064331,0.010714,0.053617,-10.2400,-0.053617,0.096449,0.074667,0.096448,0.074667,0.021781,-4.1600,-0.021782
0,0,0.2280,0.063443,0.009826,0.064331,0.009826,0.054504,-10.2400,-0.053617,0.095116,0.073334,0.096448,0.073334,0.023114,-4.1600,-0.021782
0,0,0.2310,0.060778,0.007162,0.059002,0.007162,0.051840,-10.2400,-0.053617,0.091119,0.069337,0.088454,0.069337,0.019117,-4.1600,-0.021782
0,0,0.2340,0.059002,0.005385,0.059002,0.005386,0.053617,-10.2400,-0.053617,0.088454,0.066672,0.088454,0.066672,0.021781,-4.1600,-0.021782
0,0,0.2370,0.059002,0.005385,0.059002,0.005385,0.053617,-10.2400,-0.053617,0.088454,0.066672,0.088454,0.066672,0.021782,-4.1600,-0.021782
0,0,0.2400,0.056128,0.002511,0.053254,0.002511,0.050743,-10.2400,-0.053617,0.084146,0.062364,0.079839,0.062364,0.017475,-4.1600,-0.021782
0,0,0.2430,0.053254,-0.000362,0.053254,-0.000362,0.053617,-10.2400,-0.053617,0.079839,0.058057,0.079839,0.058057,0.021782,-4.1600,-0.021782
0,0,0.2460,0.053254,-0.000362,0.053254,-0.000362,0.053617,-10.2400,-0.053617,0.079840,0.058058,0.079839,0.058058,0.021781,-4.1600,-0.021782
0,0,0.2490,0.052036,-0.004361,0.053254,-0.001580,0.057615,-10.2400,-0.053617,0.078011,0.051912,0.079839,0.056229,0.027927,-4.1600,-0.021782
0,0,0.2520,0.050209,-0.010360,0.049600,-0.011750,0.059960,-11.8333,-0.061959,0.075268,0.042694,0.074355,0.040536,0.031660,-6.6333,-0.034732
0,0,0.2550,0.049600,-0.012359,0.049600,-0.012359,0.061959,-11.8333,-0.061959,0.074354,0.039622,0.074355,0.039622,0.034732,-6.6333,-0.034732
0,0,0.2580,0.049388,-0.012570,0.049600,-0.012571,0.062171,-11.8333,-0.061959,0.074037,0.039305,0.074355,0.039305,0.035050,-6.6333,-0.034732
0,0,0.2610,0.048753,-0.013206,0.048329,-0.013207,0.061535,-11.8333,-0.061959,0.073085,0.038353,0.072450,0.038353,0.034097,-6.6333,-0.034732
0,0,0.2640,0.048328,-0.013631,0.048329,-0.013631,0.061960,-11.8333,-0.061959,0.072450,0.037718,0.072450,0.037718,0.034732,-6.6333,-0.034732
0,0,0.2670,0.048328,-0.013631,0.048329,-0.013631,0.061960,-11.8333,-0.061959,0.072450,0.037718,0.072450,0.037718,0.034732,-6.6333,-0.034732
0,0,0.2700,0.047708,-0.014251,0.047088,-0.014251,0.061339,-11.8333,-0.061959,0.071518,0.036786,0.070585,0.036786,0.033800,-6.6333,-0.034732
0,0,0.2730,0.047088,-0.014871,0.047088,-0.014871,0.061959,-11.8333,-0.061959,0.070585,0.035853,0.070585,0.035853,0.034732,-6.6333,-0.034732
0,0,0.2760,0.047087,-0.014871,0.047088,-0.014872,0.061959,-11.8333,-0.061959,0.070585,0.035853,0.070585,0.035853,0.034733,-6.6333,-0.034732
0,0,0.2790,0.046683,-0.015276,0.047088,-0.015276,0.062364,-11.8333,-0.061959,0.069978,0.035245,0.070585,0.035246,0.035340,-6.6333,-0.034732
0,0,0.2820,0.046076,-0.015884,0.045873,-0.015884,0.061757,-11.8333,-0.061959,0.069067,0.034335,0.068763,0.034335,0.034428,-6.6333,-0.034732
0,0,0.2850,0.045873,-0.016086,0.045873,-0.016086,0.061959,-11.8333,-0.061959,0.068763,0.034032,0.068763,0.034031,0.034731,-6.6333,-0.034732
0,0,0.2880,0.045675,-0.016284,0.045873,-0.016284,0.062157,-11.8333,-0.061959,0.068466,0.033734,0.068763,0.033734,0.035029,-6.6333,-0.034732
0,0,0.2910,0.045081,-0.016878,0.044685,-0.016878,0.061563,-11.8333,-0.061959,0.067575,0.032843,0.066982,0.032843,0.034139,-6.6333,-0.034732
0,0,0.2940,0.044685,-0.017274,0.044685,-0.017274,0.061959,-11.8333,-0.061959,0.066982,0.032250,0.066982,0.032250,0.034732,-6.6333,-0.034732
0,0,0.2970,0.044685,-0.017274,0.044685,-0.017274,0.061959,-11.8333,-0.061959,0.066982,0.032250,0.066982,0.032250,0.034732,-6.6333,-0.034732
0,0,0.3000,0.044105,-0.017854,0.043525,-0.017854,0.061379,-11.8333,-0.061959,0.066111,0.031379,0.065240,0.031379,0.033861,-6.6333,-0.034732
0,0,0.3030,0.043525,-0.018434,0.043525,-0.018434,0.061959,-11.8333,-0.061959,0.065239,0.030508,0.065240,0.030507,0.034732,-6.6333,-0.034732
0,0,0.3060,0.043524,-0.018434,0.043525,-0.018435,0.061959,-11.8333,-0.061959,0.065239,0.030508,0.065240,0.030507,0.034732,-6.6333,-0.034732
0,0,0.3090,0.043147,-0.018813,0.043525,-0.018813,0.062338,-11.8333,-0.061959,0.064674,0.029942,0.065240,0.029942,0.035298,-6.6333,-0.034732
0,0,0.3120,0.042580,-0.019379,0.042391,-0.019379,0.061770,-11.8333,-0.061959,0.063824,0.029092,0.063541,0.029092,0.034449,-6.6333,-0.034732
0,0,0.3150,0.042390,-0.019569,0.042391,-0.019569,0.061960,-11.8333,-0.061959,0.063541,0.028809,0.063541,0.028809,0.034732,-6.6333,-0.034732
0,0,0.3180,0.042206,-0.019753,0.042391,-0.019753,0.062143,-11.8333,-0.061959,0.063264,0.028532,0.063541,0.028532,0.035009,-6.6333,-0.034732
0,0,0.3210,0.041656,-0.020303,0.041288,-0.020303,0.061591,-11.8333,-0.061959,0.062434,0.027702,0.061881,0.027702,0.034179,-6.6333,-0.034732
0,0,0.3240,0.041288,-0.020671,0.041288,-0.020671,0.061959,-11.8333,-0.061959,0.061880,0.027149,0.061881,0.027148,0.034732,-6.6333,-0.034732
0,0,0.3270,0.041288,-0.020671,0.041288,-0.020671,0.061959,-11.8333,-0.061959,0.061881,0.027149,0.061881,0.027149,0.034732,-6.6333,-0.034732
0,0,0.3300,0.040747,-0.021212,0.040207,-0.021212,0.061419,-11.8333,-0.061959,0.061072,0.026341,0.060264,0.026340,0.033923,-6.6333,-0.034732
0,0,0.3330,0.040206,-0.021753,0.040207,-0.021753,0.061960,-11.8333,-0.061959,0.060263,0.025531,0.060264,0.025531,0.034733,-6.6333,-0.034732
0,0,0.3360,0.040207,-0.021752,0.040207,-0.021752,0.061959,-11.8333,-0.061959,0.060264,0.025532,0.060264,0.025532,0.034732,-6.6333,-0.034732
0,0,0.3390,0.039857,-0.022103,0.040207,-0.022102,0.062310,-11.8333,-0.061959,0.059738,0.025006,0.060264,0.025006,0.035258,-6.6333,-0.034732
0,0,0.3420,0.039332,-0.022627,0.039157,-0.022627,0.061784,-11.8333,-0.061959,0.058948,0.024216,0.058685,0.024216,0.034469,-6.6333,-0.034732
0,0,0.3450,0.039157,-0.022802,0.039157,-0.022802,0.061958,-11.8333,-0.061959,0.058684,0.023952,0.058685,0.023952,0.034733,-6.6333,-0.034732
0,0,0.3480,0.038986,-0.022973,0.039157,-0.022973,0.062130,-11.8333,-0.061959,0.058430,0.023698,0.058685,0.023698,0.034987,-6.6333,-0.034732
0,0,0.3510,0.038473,-0.023486,0.038131,-0.023486,0.061618,-11.8333,-0.061959,0.057663,0.022931,0.057152,0.022931,0.034221,-6.6333,-0.034732
0,0,0.3540,0.038131,-0.023828,0.038131,-0.023828,0.061959,-11.8333,-0.061959,0.057151,0.022419,0.057152,0.022419,0.034733,-6.6333,-0.034732
0,0,0.3570,0.038131,-0.023828,0.038131,-0.023828,0.061959,-11.8333,-0.061959,0.057152,0.022420,0.057152,0.022420,0.034732,-6.6333,-0.034732
0,0,0.3600,0.037634,-0.024326,0.038131,-0.024326,0.062457,-11.8333,-0.061959,0.056403,0.021671,0.057152,0.021671,0.035481,-6.6333,-0.034732
0,0,0.3630,0.037136,-0.024822,0.037136,-0.024823,0.061959,-11.8333,-0.061959,0.055654,0.020922,0.055654,0.020922,0.034732,-6.6333,-0.034732
0,0,0.3660,0.037136,-0.024822,0.037136,-0.024823,0.061958,-11.8333,-0.061959,0.055654,0.020922,0.055654,0.020922,0.034732,-6.6333,-0.034732
0,0,0.3690,0.036813,-0.025146,0.037136,-0.025146,0.062282,-11.8333,-0.061959,0.055169,0.020437,0.055654,0.020437,0.035217,-6.6333,-0.034732
0,0,0.3720,0.036329,-0.025630,0.036168,-0.025630,0.061798,-11.8333,-0.061959,0.054441,0.019709,0.054199,0.019709,0.034490,-6.6333,-0.034732
0,0,0.3750,0.036167,-0.025792,0.036168,-0.025792,0.061959,-11.8333,-0.061959,0.054198,0.019466,0.054199,0.019466,0.034733,-6.6333,-0.034732
0,0,0.3780,0.036010,-0.025949,0.036168,-0.025949,0.062117,-11.8333,-0.061959,0.053964,0.019232,0.054199,0.019231,0.034967,-6.6333,-0.034732
0,0,0.3810,0.035537,-0.026422,0.035222,-0.026422,0.061644,-11.8333,-0.061959,0.053259,0.018527,0.052789,0.018527,0.034262,-6.6333,-0.034732
0,0,0.3840,0.035221,-0.026737,0.035222,-0.026738,0.061959,-11.8333,-0.061959,0.052789,0.018057,0.052789,0.018057,0.034733,-6.6333,-0.034732
0,0,0.3870,0.035222,-0.026737,0.035222,-0.026737,0.061958,-11.8333,-0.061959,0.052790,0.018057,0.052789,0.018057,0.034732,-6.6333,-0.034732
0,0,0.3900,0.034766,-0.027193,0.035222,-0.027193,0.062415,-11.8333,-0.061959,0.052101,0.017369,0.052789,0.017369,0.035420,-6.6333,-0.034732
0,0,0.3930,0.034311,-0.027649,0.034311,-0.027649,0.061959,-11.8333,-0.061959,0.051411,0.016679,0.051412,0.016679,0.034733,-6.6333,-0.034732
0,0,0.3960,0.034311,-0.027648,0.034311,-0.027648,0.061959,-11.8333,-0.061959,0.051412,0.016680,0.051412,0.016680,0.034732,-6.6333,-0.034732
0,0,0.3990,0.034012,-0.027947,0.034311,-0.027947,0.062257,-11.8333,-0.061959,0.050970,0.016238,0.051412,0.016238,0.035174,-6.6333,-0.034732
0,0,0.4020,0.033566,-0.028394,0.033417,-0.028394,0.061811,-11.8333,-0.061959,0.050306,0.015574,0.050086,0.015574,0.034512,-6.6333,-0.034732
0,0,0.4050,0.033417,-0.028541,0.033417,-0.028542,0.061958,-11.8333,-0.061959,0.050086,0.015354,0.050086,0.015354,0.034732,-6.6333,-0.034732
0,0,0.4080,0.033274,-0.028684,0.033417,-0.028685,0.062101,-11.8333,-0.061959,0.049870,0.015137,0.050086,0.015137,0.034948,-6.6333,-0.034732
0,0,0.4110,0.032847,-0.029113,0.032562,-0.029112,0.061675,-11.8333,-0.061959,0.049221,0.014489,0.048790,0.014489,0.034301,-6.6333,-0.034732
0,0,0.4140,0.032562,-0.029397,0.032562,-0.029397,0.061959,-11.8333,-0.061959,0.048790,0.014058,0.048790,0.014058,0.034732,-6.6333,-0.034732
0,0,0.4170,0.032562,-0.029397,0.032562,-0.029397,0.061959,-11.8333,-0.061959,0.048790,0.014058,0.048790,0.014058,0.034732,-6.6333,-0.034732
0,0,0.4200,0.032145,-0.029815,0.032562,-0.029815,0.062377,-11.8333,-0.061959,0.048167,0.013435,0.048790,0.013434,0.035355,-6.6333,-0.034732
