load_kg,tick,time_s,valid_repeats,cop_mean_m,cop_std_m,com_mean_m,com_std_m,trunk_mean_rad,trunk_std_rad
60,17,0.17,3,-0.09416,0,-0.0604200475,0,-0.0485980064,0
60,18,0.18,3,-0.09428302,7.450581E-09,-0.05993122,0,-0.0510125943,3.7252903E-09
60,19,0.19,3,-0.09384278,7.450581E-09,-0.0594047122,3.7252903E-09,-0.0530535877,0
60,20,0.2,3,-0.09387505,0,-0.0588347428,0,-0.0542978644,0
60,21,0.21,3,-0.09432586,0,-0.0582221635,0,-0.0557745844,0
60,22,0.22,3,-0.09485731,0,-0.05756854,0,-0.0582011826,3.7252903E-09
60,23,0.23,3,-0.09426946,0,-0.0568726957,0,-0.06032066,0
60,24,0.24,3,-0.09384709,0,-0.05613308,0,-0.0619538836,3.7252903E-09
60,25,0.25,3,-0.09360298,7.450581E-09,-0.05535115,0,-0.0633845,0
60,26,0.26,3,-0.0930964351,0,-0.05453075,0,-0.06451329,0
60,27,0.27,3,-0.09251768,0,-0.0536750555,0,-0.06565322,0
60,28,0.28,3,-0.09201646,0,-0.0527842343,0,-0.06625113,0
60,29,0.29,3,-0.0916841,0,-0.0518585145,0,-0.0674191862,0
60,30,0.3,3,-0.0914919749,7.450581E-09,-0.05089466,0,-0.06930734,0
60,31,0.31,3,-0.0905788839,0,-0.049888242,0,-0.0697697848,0
60,32,0.32,3,-0.08998269,0,-0.0488353372,0,-0.07142921,0
60,33,0.33,3,-0.0888113752,0,-0.0477311127,0,-0.0717045441,0
60,34,0.34,3,-0.0889727846,7.450581E-09,-0.0465728641,0,-0.0727635548,0
60,35,0.35000000000000003,3,-0.08705044,0,-0.04537831,0,-0.0723170862,0
60,36,0.36,3,-0.0869053,0,-0.0441417359,0,-0.07255662,0
60,37,0.37,3,-0.0869066045,0,-0.0428626426,3.7252903E-09,-0.07386544,0
60,38,0.38,3,-0.08632491,0,-0.0415351,0,-0.07539014,0
60,39,0.39,3,-0.0859606639,0,-0.0401577763,0,-0.0771430656,0
60,40,0.4,3,-0.0851042643,7.450581E-09,-0.0387301259,0,-0.0785934553,0
60,41,0.41000000000000003,3,-0.08440169,0,-0.037251547,0,-0.07960612,0
60,42,0.42,3,-0.0830728263,0,-0.0357288979,0,-0.07977368,0
60,43,0.43,3,-0.082742095,0,-0.0341689363,0,-0.08122809,0
60,44,0.44,3,-0.08227672,0,-0.0325633474,0,-0.08258038,0
60,45,0.45,3,-0.08213959,0,-0.03090707,1.86264515E-09,-0.08391875,0
60,46,0.46,3,-0.08198373,0,-0.02919594,1.86264515E-09,-0.08549171,0
60,47,0.47000000000000003,3,-0.0820576251,0,-0.0274282489,1.86264515E-09,-0.0868312344,7.450581E-09
60,48,0.48,3,-0.08195039,0,-0.0256078783,0,-0.08808897,7.450581E-09
60,49,0.49,3,-0.08151868,0,-0.0237352829,0,-0.0894450247,0
60,50,0.5,3,-0.08088288,0,-0.0218111519,0,-0.0905640349,7.450581E-09
60,51,0.51,3,-0.08052707,0,-0.01983448,0,-0.09164989,0
60,52,0.52,3,-0.08086151,0,-0.0178043172,0,-0.09290862,0
60,53,0.53,3,-0.08093902,0,-0.0157115851,0,-0.0943660438,0
60,54,0.54,3,-0.0806462839,0,-0.013555604,0,-0.09559014,0
60,55,0.55,3,-0.0805082843,0,-0.0113393823,0,-0.09682426,0
60,56,0.56,3,-0.0803502649,0,-0.009061781,0,-0.09839171,0
60,57,0.57000000000000006,3,-0.08002319,0,-0.006721227,0,-0.100127585,0
60,58,0.58,3,-0.07958491,0,-0.004320788,0,-0.101937093,0
60,59,0.59,3,-0.0792314559,0,-0.00186575949,0,-0.103787452,0
60,60,0.6,3,-0.07910411,0,0.0006400004,0,-0.105703749,7.450581E-09
60,61,0.61,3,-0.07917245,0,0.00319469278,0,-0.107709028,0
60,62,0.62,3,-0.0792504847,0,0.00577121,4.656613E-10,-0.109782554,0
60,63,0.63,3,-0.07930859,0,0.008401133,0,-0.111474536,0
60,64,0.64,3,-0.07956752,0,0.0110821584,0,-0.113519557,0
