load_kg,tick,lifecycle,state,bar_y,trunk_pitch,com_z,support_ap_min,support_ap_max,has_support,max_demand,ankle_offset,hip_offset,trunk_offset,guard_scale,abdomen_actual,abdomen_ref,abdomen_drive_err,abdomen_demand,thorax_actual,thorax_ref,thorax_drive_err,thorax_demand,left_thigh_actual,left_thigh_demand,left_shank_actual,left_shank_demand,left_foot_actual,left_foot_demand,abdomen_maxforce
40,351,START_WINDOW,SETUP,0.21916,-1.6062,0.45362,0.04598,0.35152,True,1.0626,0.1418,0.09448,-0.04724,0,0.04502,-0.04723,-0.09215,0.08125,0.09315,-0.04723,-0.13997,0.11629,0.10089,0.01112,0.0118,0.01178,0.13172,0.0195,2074.8
40,361,START_WINDOW,SETUP,0.28048,-1.68795,0.47195,0.03304,0.35121,True,1.83973,-0.05058,0.05943,-0.02972,0.88548,0.01376,-0.02971,-0.04347,0.03061,0.03966,-0.02971,-0.06927,0.03276,0.09095,0.0142,0.02816,0.01185,0.11174,0.02733,2074.8
40,371,START_WINDOW,SETUP,0.29844,-1.6417,0.47194,0.02433,0.3514,True,2.39321,0.2618,0.0352,-0.0176,0.87828,-0.03458,-0.01759,0.01698,0.03734,-0.00929,-0.01759,-0.00827,0.0414,0.09213,0.0127,0.03958,0.00838,0.04883,0.05069,2074.8
40,381,START_WINDOW,SETUP,0.27515,-1.52079,0.44462,0.00599,0.35126,True,1.96896,0.2618,0.02045,-0.01023,0.91081,-0.03786,-0.01022,0.02765,0.02858,-0.02598,-0.01022,0.01578,0.03281,0.0637,0.00663,0.03744,0.00514,0.05221,0.04184,2074.8
40,391,START_WINDOW,SETUP,0.24473,-1.49276,0.43766,0.00396,0.35157,True,2.03319,0.2618,0.04761,-0.02381,0.35925,0.00359,-0.0238,-0.02736,0.03862,0.03279,-0.0238,-0.05654,0.05387,0.04442,0.00787,0.03305,0.00064,0.10607,0.02071,2074.8
60,1,START_WINDOW,SETUP,1.47292,0.09087,-0.06301,-0.15472,0.13528,True,1.47401,0,0,0,1,0.01809,0,-0.01808,0.03533,0.02315,0,-0.02317,0.03583,-0.00098,0.01344,0,0.01271,0,0.01515,2371.2
60,11,START_WINDOW,SETUP,1.41123,0.13006,-0.06022,-0.15758,0.13402,True,1.19081,0.23207,0.0294,-0.0147,0.89744,-0.01074,-0.0147,-0.00396,0.0215,-0.02437,-0.0147,0.00966,0.03427,-0.00316,0.00277,-0.00919,0.00164,-0.0242,0.05066,2371.2
60,21,START_WINDOW,SETUP,1.36523,0.3113,-0.05557,-0.15758,0.13402,True,1.99123,0.0618,0,0,0.65659,-0.10577,0,0.10576,0.06341,-0.10445,0,0.10444,0.06131,0.03419,0.01635,0.00565,0.00553,-0.06915,0.06376,2371.2
60,31,START_WINDOW,SETUP,1.31981,0.47127,-0.05568,-0.15758,0.13402,True,1.53217,0,0,0,0,-0.19079,0,0.19071,0.09114,-0.16843,0,0.16839,0.07934,0.05801,0.02364,0.03712,0.01617,-0.11384,0.042,2371.2
60,41,START_WINDOW,SETUP,1.28038,0.61451,-0.05727,-0.15758,0.13402,True,1.52422,0,-0.00343,0.00172,0,-0.262,0.00154,0.26335,0.11238,-0.21718,0.00154,0.21871,0.09461,0.08191,0.02937,0.05997,0.02015,-0.13976,0.05339,2371.2
60,51,START_WINDOW,SETUP,1.24637,0.74804,-0.06175,-0.15758,0.13402,True,1.2108,0,-0.0215,0.01075,0,-0.31741,0.01072,0.32708,0.13322,-0.25443,0.01072,0.26463,0.10775,0.09574,0.03464,0.07418,0.02383,-0.14554,0.06397,2371.2
60,61,START_WINDOW,SETUP,1.22324,0.87976,-0.07033,-0.15812,0.13402,True,1.02209,0,-0.04807,0.02404,0,-0.35284,0.02403,0.37475,0.14921,-0.2787,0.02403,0.30167,0.12053,0.09801,0.03827,0.08187,0.02633,-0.13406,0.07502,2371.2
60,71,START_WINDOW,SETUP,1.21424,1.0114,-0.08465,-0.15812,0.13351,True,1.148,0,-0.08657,0.04328,0,-0.36669,0.04328,0.40612,0.16504,-0.2854,0.04328,0.3268,0.13363,0.08583,0.04137,0.08582,0.02981,-0.106,0.08714,2371.2
