sample,joint_id,nominal_x,nominal_y,nominal_z,nominal_w,gravity_bias_x,gravity_bias_y,gravity_bias_z,gravity_bias_w,balance_offset_x,balance_offset_y,balance_offset_z,balance_offset_w,final_x,final_y,final_z,final_w
5,right_hand,0.00334644062,0.0147603834,0.221029744,0.975149632,0,0,0,1,0,0,0,1,0.00334644062,0.0147603834,0.221029744,0.975149632
5,left_thigh,-0.824126244,3.04569463E-16,8.63605152E-08,0.56640625,0,0,0,1,0,0,0.00125675893,0.9999992,-0.8241256,0.001035728,0.0007119225,0.566405833
5,right_thigh,-0.824126244,3.779648E-15,8.63605152E-08,0.56640625,0,0,0,1,0,0,0.00125675893,0.9999992,-0.8241256,0.001035728,0.0007119225,0.566405833
5,left_shank,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0,0,0,1,0,0,0,1,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639
5,right_shank,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0,0,0,1,0,0,0,1,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051
5,left_foot,-0.2334454,-7.97280667E-16,2.44628282E-08,0.972369969,0,0,0,1,-0.0179382041,4.50881E-05,0.00251311157,0.9998359,-0.250849664,0.0006305162,0.00243317313,0.9680228
5,right_foot,-0.233445391,-1.24695553E-15,2.44628371E-08,0.972369969,0,0,0,1,-0.0179382041,4.50881E-05,0.00251311157,0.9998359,-0.250849664,0.0006305162,0.00243317313,0.9680228
6,abdomen,0.055799827,3.35160349E-15,-5.847286E-09,0.998442,-0.07123631,0,0,0.9974595,0.000358658668,-2.25227808E-07,0.0006279724,0.999999762,-0.01510864,9.488226E-06,0.000627894944,0.9998857
6,thorax,0.0836046338,-7.812081E-15,-8.76095552E-09,0.996499,-0.0319340937,0,0,0.999489963,0.000358658668,-2.25227808E-07,0.0006279724,0.999999762,0.0520978644,-3.27157541E-05,0.0006271109,0.9986418
6,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0,0,0,1,0,0,0,1,-0.321433842,0.508399367,-0.6994445,-0.3859894
6,right_upper_arm,0.321432769,-0.5083989,-0.6994451,-0.385989845,0,0,0,1,0,0,0,1,0.321432769,-0.5083989,-0.6994451,-0.385989845
6,left_forearm,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0,0,0,1,0,0,0,1,0.860719,2.120584E-08,8.63084049E-10,0.50908035
6,right_forearm,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0,0,0,1,0,0,0,1,0.860718846,7.653174E-09,2.13823252E-08,0.5090805
6,left_hand,-0.00334588159,-0.0147602167,0.221029863,0.975149632,0,0,0,1,0,0,0,1,-0.00334588159,-0.0147602167,0.221029863,0.975149632
6,right_hand,0.00334644062,0.0147603834,0.221029744,0.975149632,0,0,0,1,0,0,0,1,0.00334644062,0.0147603834,0.221029744,0.975149632
6,left_thigh,-0.824126244,3.04569463E-16,8.63605152E-08,0.56640625,0,0,0,1,-0.0007173168,9.00911E-07,0.00125594437,0.999999,-0.8245317,0.00103556691,0.0007107186,0.5658145
6,right_thigh,-0.824126244,3.779648E-15,8.63605152E-08,0.56640625,0,0,0,1,-0.0007173168,9.00911E-07,0.00125594437,0.999999,-0.8245317,0.00103556691,0.0007107186,0.5658145
6,left_shank,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0,0,0,1,0,0,0,1,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639
6,right_shank,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0,0,0,1,0,0,0,1,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051
6,left_foot,-0.2334454,-7.97280667E-16,2.44628282E-08,0.972369969,0,0,0,1,-0.03793,9.52762E-05,0.00251008,0.999277234,-0.270158678,0.0006786095,0.00241850922,0.9628126
6,right_foot,-0.233445391,-1.24695553E-15,2.44628371E-08,0.972369969,0,0,0,1,-0.03793,9.52762E-05,0.00251008,0.999277234,-0.270158648,0.0006786094,0.00241850922,0.9628126
7,abdomen,0.055799827,3.35160349E-15,-5.847286E-09,0.998442,-0.07123631,0,0,0.9974595,0,0,0.0006296912,0.9999998,-0.0154672572,9.740013E-06,0.000629610033,0.9998802
7,thorax,0.0836046338,-7.812081E-15,-8.76095552E-09,0.996499,-0.0319340937,0,0,0.999489963,0,0,0.0006296912,0.9999998,0.0517396927,-3.25797519E-05,0.000628839,0.9986604
7,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0,0,0,1,0,0,0,1,-0.321433842,0.508399367,-0.6994445,-0.3859894
