tick,time,barY,standRefY,heightDeficit,barVelY,barSpeed,barAngSpeed,lKnee,rKnee,maxKnee,lHip,rHip,maxHip,trunk,completionRegion,linStill,angStill,kneesQ,hipsQ,trunkQ,physicalLockout,state,sq,demand,drive01
736,7.360000,1.333983,1.403096,0.069113,0.206705,0.210267,0.334758,0.839676,0.861341,0.861341,-0.726526,-0.738775,0.738775,0.274918,0,0,0,0,0,0,0,ASCENT,0.246997,0.238495,0.000000
737,7.370000,1.335993,1.403096,0.067103,0.203815,0.207487,0.341398,0.830357,0.852098,0.852098,-0.717650,-0.729905,0.729905,0.271160,0,0,0,0,0,0,0,ASCENT,0.243997,0.238643,0.000000
738,7.380000,1.337975,1.403096,0.065121,0.201286,0.205046,0.340515,0.821093,0.842935,0.842935,-0.708886,-0.721179,0.721179,0.267405,0,0,0,0,0,0,0,ASCENT,0.240997,0.238573,0.000000
739,7.390000,1.339930,1.403096,0.063166,0.198247,0.202096,0.345135,0.811739,0.833651,0.833651,-0.699947,-0.712244,0.712244,0.263615,0,0,0,0,0,0,0,ASCENT,0.237997,0.238738,0.000000
740,7.400000,1.341856,1.403096,0.061241,0.195719,0.199647,0.344153,0.802476,0.824488,0.824488,-0.691136,-0.703476,0.703476,0.259830,0,0,0,0,0,0,0,ASCENT,0.234997,0.238647,0.000000
741,7.410000,1.343750,1.403096,0.059347,0.192205,0.196232,0.349752,0.793225,0.815309,0.815309,-0.682328,-0.694675,0.694675,0.256000,0,0,0,0,0,0,0,ASCENT,0.231997,0.238797,0.000000
742,7.420000,1.345614,1.403096,0.057482,0.189676,0.193763,0.347338,0.783973,0.806149,0.806149,-0.673508,-0.685894,0.685894,0.252194,0,0,0,0,0,0,0,ASCENT,0.228997,0.238718,0.000000
743,7.430000,1.347448,1.403096,0.055648,0.186285,0.190469,0.352829,0.774761,0.797004,0.797004,-0.664699,-0.677092,0.677092,0.248343,0,0,0,0,0,0,0,ASCENT,0.225997,0.238844,0.000000
744,7.440000,1.349251,1.403096,0.053845,0.183425,0.187680,0.351433,0.765633,0.787966,0.787966,-0.656039,-0.668471,0.668471,0.244503,0,0,0,0,0,0,0,ASCENT,0.222997,0.238746,0.000000
745,7.450000,1.351025,1.403096,0.052071,0.180442,0.184771,0.353737,0.756459,0.778852,0.778852,-0.647281,-0.659718,0.659718,0.240653,0,0,0,0,0,0,0,ASCENT,0.219997,0.238859,0.000000
