tick,time,state,sq,knee_cmd_rate,knee_fd_rate,knee_rate_diff,knee_ref_accel,hip_cmd_rate,hip_fd_rate,hip_rate_diff,hip_ref_accel,ankle_nom_cmd_rate,ankle_nom_fd_rate,ankle_nom_diff
337,3.370,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
338,3.380,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
339,3.390,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
340,3.400,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
341,3.410,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
342,3.420,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
343,3.430,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
344,3.440,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
345,3.450,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
346,3.460,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
347,3.470,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
348,3.480,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
349,3.490,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
350,3.500,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
351,3.510,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
352,3.520,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
353,3.530,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
354,3.540,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,0.98,0.98,0.0,0.00,0.00,0.00
355,3.550,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,2.02,2.02,0.0,0.00,0.00,0.00
356,3.560,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,2.05,2.05,0.0,0.00,0.00,0.00
357,3.570,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,-5.05,5.05,0.0,0.00,0.00,0.00
358,3.580,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
359,3.590,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
360,3.600,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
361,3.610,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
362,3.620,REVERSAL,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
363,3.630,ASCENT,1.0000,0.00,0.00,0.00,-2405.8,0.00,0.00,0.00,2233.1,3.47,0.00,3.47
364,3.640,ASCENT,0.9970,-23.94,-23.93,0.00,20.0,22.21,22.21,0.00,-19.4,3.43,3.40,0.03
365,3.650,ASCENT,0.9940,-23.94,-23.94,0.00,19.1,22.21,22.21,0.00,-18.5,3.39,3.40,0.01
366,3.660,ASCENT,0.9910,-23.94,-23.93,0.00,18.2,22.21,22.21,0.00,-17.6,3.35,3.40,0.05
367,3.670,ASCENT,0.9880,-23.34,-23.54,0.20,17.3,21.63,21.83,0.19,-16.8,3.31,3.32,0.01
368,3.680,ASCENT,0.9850,-23.34,-23.34,0.00,16.4,21.63,21.64,0.00,-15.9,3.28,3.28,0.00
369,3.690,ASCENT,0.9820,-23.34,-23.34,0.00,15.6,21.63,21.64,0.00,-15.0,3.25,3.28,0.03
370,3.700,ASCENT,0.9790,-22.84,-23.17,0.33,14.7,21.15,21.47,0.32,-14.2,3.22,3.25,0.03
371,3.710,ASCENT,0.9760,-22.84,-22.84,0.00,13.8,21.15,21.15,0.00,-13.3,3.19,3.18,0.01
372,3.720,ASCENT,0.9730,-22.84,-22.84,0.00,12.9,21.15,21.15,0.00,-12.4,3.16,3.18,0.02
373,3.730,ASCENT,0.9700,-22.44,-22.84,0.40,12.0,20.77,21.15,0.38,-11.6,3.14,3.18,0.04
374,3.740,ASCENT,0.9670,-22.44,-22.44,0.00,11.1,20.77,24.07,3.30,-10.7,3.12,3.11,0.01
