load_kg,tick,sq,abd_nominal,abd_bias,abd_actual,abd_err,tho_nominal,tho_bias,tho_actual,tho_err,hip_nominal,hip_actual,hip_err,world_trunk,ref_trunk,trunk_err,support_length,heel_clr_l,heel_clr_r,com_ap,cop_ap,contacts,saddle_sep,saddle_attached,abd_demand,tho_demand
0,240,0.7200,6.177,-6.532,5.689,-0.488,9.262,-3.268,8.859,-0.403,-88.331,-86.275,2.056,35.869,33.566,2.303,0.29000,-0.00012,-0.00012,-0.02959,-0.02093,8,0.00000,0,0.0542,0.0250
0,244,0.7320,6.211,-6.561,5.557,-0.654,9.312,-3.285,8.798,-0.513,-89.603,-87.242,2.361,35.954,33.756,2.199,0.29000,-0.00013,-0.00013,-0.02968,-0.03383,8,0.00000,0,0.0533,0.0246
0,248,0.7440,6.243,-6.591,5.501,-0.742,9.360,-3.302,8.780,-0.581,-90.875,-88.331,2.543,36.076,33.945,2.131,0.29000,-0.00013,-0.00013,-0.02978,-0.03187,8,0.00000,0,0.0542,0.0253
0,252,0.7560,6.275,-6.621,5.485,-0.790,9.408,-3.318,8.792,-0.616,-92.133,-89.504,2.629,36.243,34.122,2.121,0.29000,-0.00013,-0.00013,-0.02994,-0.03311,8,0.00000,0,0.0550,0.0258
0,256,0.7680,6.305,-6.651,5.515,-0.789,9.453,-3.335,8.832,-0.621,-93.364,-90.743,2.621,36.442,34.285,2.157,0.29000,-0.00014,-0.00014,-0.03015,-0.03377,8,0.00000,0,0.0566,0.0267
0,260,0.7800,6.332,-6.680,5.580,-0.752,9.494,-3.352,8.895,-0.599,-94.553,-92.032,2.521,36.664,34.448,2.216,0.29000,-0.00014,-0.00014,-0.03038,-0.03402,8,0.00000,0,0.0581,0.0278
0,264,0.7920,6.357,-6.710,5.665,-0.691,9.530,-3.369,8.972,-0.559,-95.677,-93.348,2.329,36.900,34.611,2.288,0.29000,-0.00014,-0.00014,-0.03063,-0.03621,8,0.00000,0,0.0597,0.0287
0,268,0.8040,6.377,-6.750,5.773,-0.604,9.561,-3.384,9.057,-0.503,-96.728,-94.679,2.049,37.139,34.755,2.383,0.29000,-0.00014,-0.00014,-0.03083,-0.03621,8,0.00000,0,0.0621,0.0293
0,272,0.8160,6.393,-6.811,5.894,-0.498,9.585,-3.397,9.145,-0.440,-97.692,-96.006,1.686,37.378,34.861,2.518,0.29000,-0.00015,-0.00015,-0.03101,-0.03656,8,0.00000,0,0.0638,0.0305
0,276,0.8280,6.404,-6.871,6.025,-0.379,9.602,-3.409,9.243,-0.359,-98.589,-97.287,1.303,37.605,34.966,2.639,0.29000,-0.00015,-0.00015,-0.03113,-0.03746,8,0.00000,0,0.0659,0.0318
0,280,0.8400,6.413,-6.932,6.168,-0.244,9.615,-3.422,9.351,-0.263,-99.479,-98.492,0.987,37.814,35.072,2.742,0.29000,-0.00016,-0.00015,-0.03120,-0.03546,8,0.00000,0,0.0683,0.0332
0,284,0.8520,6.418,-6.993,6.300,-0.119,9.623,-3.435,9.460,-0.163,-100.376,-99.619,0.757,38.007,35.172,2.834,0.29000,-0.00015,-0.00015,-0.03123,-0.03415,8,0.00000,0,0.0694,0.0341
0,288,0.8640,6.422,-7.053,6.397,-0.025,9.628,-3.447,9.551,-0.077,-101.276,-100.678,0.598,38.180,35.247,2.934,0.29000,-0.00015,-0.00015,-0.03127,-0.03324,8,0.00000,0,0.0700,0.0347
0,292,0.8760,6.423,-7.114,6.451,0.027,9.630,-3.460,9.619,-0.011,-102.178,-101.681,0.497,38.328,35.321,3.006,0.29000,-0.00015,-0.00015,-0.03133,-0.03477,8,0.00000,0,0.0699,0.0347
0,296,0.8880,6.423,-7.174,6.467,0.044,9.630,-3.472,9.661,0.031,-103.079,-102.644,0.435,38.439,35.396,3.043,0.29000,-0.00015,-0.00015,-0.03136,-0.03472,8,0.00000,0,0.0698,0.0347
0,300,0.9000,6.422,-7.235,6.447,0.025,9.628,-3.485,9.681,0.054,-103.977,-103.580,0.397,38.516,35.470,3.046,0.29000,-0.00015,-0.00014,-0.03133,-0.03400,8,0.00000,0,0.0694,0.0346
0,304,0.9120,6.419,-7.296,6.398,-0.021,9.624,-3.498,9.682,0.059,-104.868,-104.497,0.371,38.564,35.532,3.031,0.29000,-0.00014,-0.00014,-0.03128,-0.03344,8,0.00000,0,0.0690,0.0343
0,308,0.9240,6.416,-7.356,6.330,-0.085,9.619,-3.510,9.670,0.051,-105.751,-105.403,0.348,38.587,35.595,2.992,0.29000,-0.00014,-0.00014,-0.03122,-0.03300,8,0.00000,0,0.0685,0.0341
0,312,0.9360,6.412,-7.417,6.252,-0.160,9.613,-3.523,9.649,0.036,-106.624,-106.303,0.321,38.589,35.657,2.932,0.29000,-0.00014,-0.00014,-0.03117,-0.03275,8,0.00000,0,0.0683,0.0339
0,316,0.9480,6.408,-7.477,6.171,-0.237,9.607,-3.535,9.623,0.016,-107.484,-107.197,0.286,38.573,35.720,2.854,0.29000,-0.00014,-0.00014,-0.03113,-0.03271,8,0.00000,0,0.0681,0.0338
0,320,0.9600,6.404,-7.538,6.090,-0.315,9.602,-3.548,9.596,-0.005,-108.329,-108.088,0.240,38.543,35.778,2.765,0.29000,-0.00014,-0.00014,-0.03111,-0.03283,8,0.00000,0,0.0680,0.0337
0,324,0.9720,6.401,-7.599,6.010,-0.391,9.597,-3.561,9.569,-0.028,-109.154,-108.975,0.179,38.499,35.836,2.663,0.29000,-0.00014,-0.00014,-0.03112,-0.03309,8,0.00000,0,0.0679,0.0336
0,328,0.9840,6.399,-7.659,5.933,-0.466,9.594,-3.573,9.542,-0.052,-109.959,-109.856,0.103,38.444,35.893,2.551,0.29000,-0.00014,-0.00014,-0.03114,-0.03332,8,0.00000,0,0.0677,0.0334
0,332,0.9960,6.398,-7.720,5.857,-0.541,9.592,-3.586,9.515,-0.077,-110.743,-110.728,0.014,38.378,35.951,2.427,0.29000,-0.00014,-0.00014,-0.03118,-0.03374,8,0.00000,0,0.0677,0.0332
0,336,1.0000,6.397,-7.740,5.804,-0.594,9.592,-3.590,9.497,-0.095,-111.000,-111.551,-0.551,38.299,35.970,2.329,0.29000,-0.00015,-0.00014,-0.03123,-0.03542,8,0.00000,0,0.0687,0.0336
0,340,1.0000,6.397,-7.740,5.835,-0.562,9.592,-3.590,9.513,-0.079,-111.000,-112.187,-1.187,38.213,35.970,2.243,0.29000,-0.00016,-0.00015,-0.03129,-0.03750,8,0.00000,0,0.0709,0.0347
0,344,1.0000,6.397,-7.740,5.901,-0.496,9.592,-3.590,9.549,-0.043,-111.000,-112.648,-1.648,38.144,35.970,2.174,0.29000,-0.00016,-0.00015,-0.03132,-0.03721,8,0.00000,0,0.0719,0.0353
0,348,1.0000,6.397,-7.740,5.941,-0.456,9.592,-3.590,9.573,-0.019,-111.000,-112.953,-1.953,38.108,35.970,2.138,0.29000,-0.00016,-0.00015,-0.03134,-0.03790,8,0.00000,0,0.0717,0.0350
0,352,1.0000,6.397,-7.740,5.968,-0.430,9.592,-3.590,9.588,-0.004,-111.000,-113.157,-2.157,38.079,35.970,2.109,0.29000,-0.00015,-0.00015,-0.03126,-0.03288,8,0.00000,0,0.0716,0.0352
0,356,1.0000,6.397,-7.740,5.951,-0.447,9.592,-3.590,9.592,0.000,-111.000,-113.280,-2.280,38.078,35.970,2.108,0.29000,-0.00015,-0.00014,-0.03121,-0.03148,8,0.00000,0,0.0700,0.0345
0,360,1.0000,6.397,-7.740,5.888,-0.509,9.592,-3.590,9.562,-0.029,-111.000,-113.323,-2.323,38.090,35.970,2.120,0.29000,-0.00015,-0.00014,-0.03125,-0.03681,8,0.00000,0,0.0687,0.0336
0,364,1.0000,6.397,-7.740,5.840,-0.558,9.592,-3.590,9.538,-0.054,-111.000,-113.349,-2.349,38.082,35.970,2.112,0.29000,-0.00014,-0.00014,-0.03122,-0.03256,8,0.00000,0,0.0682,0.0336
0,368,1.0000,6.397,-7.740,5.761,-0.636,9.592,-3.590,9.503,-0.089,-111.000,-113.343,-2.343,38.079,35.970,2.109,0.29000,-0.00014,-0.00014,-0.03124,-0.03450,8,0.00000,0,0.0668,0.0327
0,372,1.0000,6.397,-7.740,5.689,-0.708,9.592,-3.590,9.463,-0.129,-111.000,-113.324,-2.324,38.065,35.970,2.095,0.29000,-0.00014,-0.00014,-0.03127,-0.03493,8,0.00000,0,0.0665,0.0325
0,376,1.0000,6.397,-7.740,5.626,-0.772,9.592,-3.590,9.428,-0.163,-111.000,-113.306,-2.306,38.044,35.970,2.074,0.29000,-0.00014,-0.00014,-0.03128,-0.03449,8,0.00000,0,0.0660,0.0323
0,380,1.0000,6.397,-7.740,5.570,-0.828,9.592,-3.590,9.398,-0.194,-111.000,-113.289,-2.289,38.021,35.970,2.051,0.29000,-0.00014,-0.00014,-0.03128,-0.03430,8,0.00000,0,0.0658,0.0321
0,384,1.0000,6.397,-7.740,5.526,-0.872,9.592,-3.590,9.373,-0.219,-111.000,-113.275,-2.275,37.999,35.970,2.029,0.29000,-0.00014,-0.00014,-0.03129,-0.03430,8,0.00000,0,0.0657,0.0321
0,388,1.0000,6.397,-7.740,5.494,-0.904,9.592,-3.590,9.355,-0.237,-111.000,-113.267,-2.267,37.978,35.970,2.008,0.29000,-0.00014,-0.00014,-0.03132,-0.03438,8,0.00000,0,0.0657,0.0320
0,392,1.0000,6.397,-7.740,5.473,-0.924,9.592,-3.590,9.342,-0.249,-111.000,-113.262,-2.262,37.960,35.970,1.990,0.29000,-0.00015,-0.00014,-0.03135,-0.03451,8,0.00000,0,0.0657,0.0321
0,396,1.0000,6.397,-7.740,5.461,-0.936,9.592,-3.590,9.335,-0.257,-111.000,-113.261,-2.261,37.945,35.970,1.975,0.29000,-0.00015,-0.00014,-0.03140,-0.03465,8,0.00000,0,0.0658,0.0321
0,400,1.0000,6.397,-7.740,5.455,-0.942,9.592,-3.590,9.331,-0.260,-111.000,-113.262,-2.262,37.932,35.970,1.962,0.29000,-0.00015,-0.00014,-0.03145,-0.03478,8,0.00000,0,0.0659,0.0322
0,404,1.0000,6.397,-7.740,5.453,-0.944,9.592,-3.590,9.330,-0.261,-111.000,-113.264,-2.264,37.922,35.970,1.952,0.29000,-0.00015,-0.00014,-0.03150,-0.03489,8,0.00000,0,0.0660,0.0322
0,408,1.0000,6.397,-7.740,5.454,-0.944,9.592,-3.590,9.330,-0.261,-111.000,-113.267,-2.267,37.913,35.970,1.943,0.29000,-0.00015,-0.00014,-0.03155,-0.03498,8,0.00000,0,0.0660,0.0322
0,412,1.0000,6.397,-7.740,5.455,-0.942,9.592,-3.590,9.331,-0.261,-111.000,-113.269,-2.269,37.906,35.970,1.936,0.29000,-0.00015,-0.00014,-0.03161,-0.03504,8,0.00000,0,0.0660,0.0322
0,416,1.0000,6.397,-7.740,5.457,-0.940,9.592,-3.590,9.332,-0.260,-111.000,-113.271,-2.271,37.900,35.970,1.930,0.29000,-0.00015,-0.00014,-0.03166,-0.03509,8,0.00000,0,0.0660,0.0323
0,420,1.0000,6.397,-7.740,5.458,-0.939,9.592,-3.590,9.333,-0.259,-111.000,-113.272,-2.272,37.893,35.970,1.923,0.29000,-0.00015,-0.00014,-0.03171,-0.03513,8,0.00000,0,0.0660,0.0323
25,4,0.0120,0.172,3.669,-0.643,-0.815,0.262,3.511,-0.601,-0.864,-1.283,1.749,3.033,1.896,4.484,-2.588,0.29000,-0.00021,-0.00028,-0.04708,-0.05014,8,0.00668,1,0.0284,0.0350
25,8,0.0240,0.360,3.408,-0.587,-0.947,0.540,3.352,-0.569,-1.109,-2.593,2.006,4.599,1.933,5.057,-3.124,0.29000,-0.00022,-0.00028,-0.04714,-0.05281,8,0.00650,1,0.0291,0.0357
25,12,0.0360,0.554,3.146,-0.588,-1.142,0.832,3.193,-0.532,-1.364,-3.928,1.776,5.704,2.081,5.631,-3.550,0.29000,-0.00022,-0.00028,-0.04710,-0.04904,8,0.00645,1,0.0296,0.0364
25,16,0.0480,0.756,2.886,-0.604,-1.360,1.134,3.034,-0.468,-1.602,-5.286,1.201,6.487,2.319,6.204,-3.885,0.29000,-0.00023,-0.00029,-0.04704,-0.05096,8,0.00646,1,0.0295,0.0365
25,20,0.0600,0.963,2.624,-0.614,-1.577,1.445,2.876,-0.371,-1.816,-6.666,0.382,7.047,2.629,6.822,-4.193,0.29000,-0.00023,-0.00029,-0.04695,-0.05312,8,0.00645,1,0.0287,0.0360
25,24,0.0720,1.176,2.363,-0.603,-1.779,1.765,2.717,-0.244,-2.008,-8.068,-0.600,7.468,2.988,7.448,-4.461,0.29000,-0.00024,-0.00029,-0.04680,-0.05580,8,0.00645,1,0.0279,0.0355
25,28,0.0840,1.393,2.102,-0.575,-1.967,2.089,2.558,-0.097,-2.186,-9.488,-1.693,7.795,3.380,8.075,-4.694,0.29000,-0.00025,-0.00029,-0.04656,-0.04552,8,0.00644,1,0.0276,0.0357
