load_kg,tick,sq,world_trunk_pitch,ref_world_trunk_pitch,trunk_excess,pelvis_world_pitch,thigh_world_pitch,shank_world_pitch,hip_nominal,hip_actual,hip_excess,abdomen_nominal,abdomen_actual,abdomen_excess,thorax_nominal,thorax_actual,thorax_excess,bar_ap,support_center,cop_ap,bar_rel_support,bar_rel_cop,saddle_separation,saddle_attached,com_ap,support_min,support_max
25,265,0.7950,46.149,34.652,11.497,22.763,106.300,-146.181,-95.946,-96.108,-0.162,6.362,17.559,11.197,9.538,15.120,5.581,0.00075,-0.00972,-0.03259,0.01047,0.03334,0.00349,1,-0.03082,-0.15472,0.13528
25,266,0.7980,46.207,34.693,11.514,22.763,105.957,-146.139,-96.214,-96.460,-0.245,6.367,17.621,11.254,9.546,15.162,5.616,0.00075,-0.00972,-0.03208,0.01047,0.03284,0.00349,1,-0.03100,-0.15472,0.13528
25,267,0.8010,46.262,34.729,11.533,22.752,105.602,-146.102,-96.477,-96.802,-0.325,6.372,17.677,11.305,9.554,15.203,5.649,0.00076,-0.00972,-0.03737,0.01048,0.03813,0.00349,1,-0.03119,-0.15472,0.13528
25,268,0.8040,46.316,34.755,11.561,22.749,105.251,-146.069,-96.728,-97.147,-0.419,6.377,17.742,11.365,9.561,15.243,5.682,0.00077,-0.00972,-0.03154,0.01049,0.03230,0.00349,1,-0.03137,-0.15472,0.13528
25,269,0.8070,46.369,34.782,11.587,22.735,104.901,-146.036,-96.979,-97.494,-0.515,6.381,17.799,11.417,9.568,15.283,5.716,0.00077,-0.00972,-0.03501,0.01049,0.03578,0.00349,1,-0.03154,-0.15472,0.13528
25,270,0.8100,46.422,34.808,11.614,22.732,104.547,-146.006,-97.230,-97.831,-0.601,6.386,17.864,11.478,9.574,15.324,5.750,0.00078,-0.00972,-0.03278,0.01049,0.03356,0.00349,1,-0.03171,-0.15472,0.13528
25,271,0.8130,46.475,34.834,11.641,22.736,104.212,-145.966,-97.461,-98.182,-0.721,6.389,17.918,11.529,9.579,15.365,5.785,0.00079,-0.00972,-0.03292,0.01050,0.03371,0.00349,1,-0.03188,-0.15472,0.13528
25,272,0.8160,46.525,34.861,11.664,22.721,103.869,-145.932,-97.692,-98.521,-0.829,6.393,17.965,11.572,9.585,15.402,5.817,0.00080,-0.00972,-0.03915,0.01052,0.03994,0.00349,1,-0.03205,-0.15472,0.13528
25,273,0.8190,46.573,34.887,11.685,22.698,103.504,-145.922,-97.923,-98.850,-0.927,6.396,18.029,11.633,9.590,15.440,5.850,0.00081,-0.00972,-0.03392,0.01053,0.03473,0.00349,1,-0.03221,-0.15472,0.13528
25,274,0.8220,46.622,34.914,11.708,22.687,103.159,-145.902,-98.147,-99.191,-1.044,6.399,18.100,11.701,9.594,15.484,5.890,0.00082,-0.00972,-0.02803,0.01054,0.02885,0.00349,1,-0.03237,-0.15472,0.13528
25,275,0.8250,46.673,34.940,11.733,22.687,102.839,-145.864,-98.368,-99.526,-1.158,6.402,18.158,11.756,9.598,15.527,5.929,0.00083,-0.00972,-0.03298,0.01055,0.03381,0.00349,1,-0.03252,-0.15472,0.13528
25,276,0.8280,46.720,34.966,11.754,22.670,102.513,-145.833,-98.589,-99.845,-1.256,6.404,18.206,11.802,9.602,15.565,5.963,0.00085,-0.00972,-0.03940,0.01057,0.04025,0.00350,1,-0.03268,-0.15472,0.13528
25,277,0.8310,46.766,34.993,11.773,22.646,102.170,-145.824,-98.811,-100.155,-1.344,6.407,18.270,11.863,9.606,15.603,5.997,0.00087,-0.00972,-0.03497,0.01059,0.03583,0.00350,1,-0.03284,-0.15472,0.13528
25,278,0.8340,46.812,35.019,11.793,22.631,101.848,-145.806,-99.034,-100.474,-1.440,6.409,18.340,11.931,9.609,15.646,6.037,0.00089,-0.00972,-0.03118,0.01061,0.03207,0.00350,1,-0.03300,-0.15472,0.13528
25,279,0.8370,46.859,35.046,11.813,22.624,101.551,-145.769,-99.257,-100.781,-1.525,6.411,18.400,11.989,9.612,15.688,6.077,0.00091,-0.00972,-0.03667,0.01063,0.03759,0.00350,1,-0.03314,-0.15472,0.13528
25,280,0.8400,46.901,35.072,11.829,22.601,101.242,-145.744,-99.479,-101.071,-1.591,6.413,18.452,12.039,9.615,15.725,6.110,0.00094,-0.00972,-0.04280,0.01066,0.04374,0.00351,1,-0.03330,-0.15472,0.13528
25,281,0.8430,46.939,35.098,11.841,22.565,100.916,-145.741,-99.703,-101.357,-1.653,6.414,18.519,12.104,9.617,15.763,6.146,0.00097,-0.00972,-0.03777,0.01069,0.03874,0.00351,1,-0.03344,-0.15472,0.13528
25,282,0.8460,46.979,35.125,11.854,22.546,100.607,-145.734,-99.927,-101.647,-1.720,6.416,18.595,12.179,9.619,15.805,6.186,0.00100,-0.00972,-0.03198,0.01072,0.03298,0.00351,1,-0.03358,-0.15472,0.13528
25,283,0.8490,47.019,35.151,11.868,22.535,100.331,-145.703,-100.151,-101.937,-1.785,6.417,18.653,12.236,9.621,15.846,6.225,0.00103,-0.00972,-0.03698,0.01075,0.03801,0.00352,1,-0.03370,-0.15472,0.13528
25,284,0.8520,47.056,35.172,11.884,22.515,100.043,-145.683,-100.376,-102.203,-1.827,6.418,18.702,12.284,9.623,15.880,6.257,0.00107,-0.00972,-0.04303,0.01078,0.04410,0.00352,1,-0.03383,-0.15472,0.13528
25,285,0.8550,47.089,35.191,11.897,22.482,99.739,-145.685,-100.601,-102.470,-1.869,6.419,18.760,12.341,9.624,15.914,6.289,0.00110,-0.00972,-0.03782,0.01082,0.03891,0.00352,1,-0.03395,-0.15472,0.13528
25,286,0.8580,47.123,35.210,11.913,22.469,99.452,-145.681,-100.826,-102.742,-1.916,6.420,18.826,12.406,9.626,15.951,6.325,0.00113,-0.00972,-0.03188,0.01085,0.03301,0.00351,1,-0.03406,-0.15472,0.13528
25,287,0.8610,47.156,35.228,11.928,22.460,99.192,-145.658,-101.051,-103.015,-1.964,6.421,18.873,12.451,9.627,15.986,6.359,0.00116,-0.00972,-0.03654,0.01088,0.03770,0.00351,1,-0.03416,-0.15472,0.13528
