tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
10,left_shank,-0.87,3.86,3.86,4.73,0.00,4.73,0.174,0.053,4.6,2052.0
10,right_shank,-0.62,3.86,3.86,4.48,0.00,4.48,0.124,0.053,0.8,2052.0
10,left_thigh,0.75,-3.59,-3.59,4.35,0.00,4.35,0.017,0.055,0.0,2052.0
10,right_thigh,0.65,-3.59,-3.59,4.24,0.00,4.24,0.014,0.054,0.0,2052.0
10,abdomen,-1.65,0.51,0.51,2.22,0.00,2.22,0.047,0.025,0.0,1482.0
10,thorax,-1.57,0.76,0.76,2.33,0.00,2.33,0.045,0.028,0.0,1482.0
12,left_foot,-0.16,5.44,-1.46,5.60,5.64,1.30,0.004,0.032,2.5,1710.0
12,right_foot,-0.29,5.44,-1.46,5.74,5.64,1.17,0.007,0.032,1.9,1710.0
12,left_shank,-0.66,4.58,4.58,5.24,0.00,5.24,0.132,0.053,4.6,2052.0
12,right_shank,-0.42,4.58,4.58,5.01,0.00,5.01,0.085,0.052,0.8,2052.0
12,left_thigh,0.56,-4.26,-4.26,4.83,0.00,4.83,0.013,0.055,0.0,2052.0
12,right_thigh,0.46,-4.26,-4.26,4.72,0.00,4.72,0.010,0.054,0.0,2052.0
12,abdomen,-1.65,0.60,0.60,2.32,0.00,2.32,0.047,0.026,0.0,1482.0
12,thorax,-1.56,0.91,0.91,2.46,0.00,2.46,0.045,0.029,0.0,1482.0
14,left_foot,-0.27,5.20,-1.70,5.48,5.64,1.43,0.006,0.032,2.7,1710.0
14,right_foot,-0.40,5.20,-1.70,5.61,5.64,1.30,0.009,0.032,2.1,1710.0
14,left_shank,-0.36,5.32,5.32,5.68,0.00,5.68,0.072,0.054,4.7,2052.0
14,right_shank,-0.13,5.32,5.32,5.45,0.00,5.45,0.026,0.053,0.8,2052.0
14,left_thigh,0.29,-4.94,-4.94,5.24,0.00,5.24,0.007,0.056,0.0,2052.0
14,right_thigh,0.19,-4.94,-4.94,5.14,0.00,5.14,0.004,0.055,0.0,2052.0
14,abdomen,-1.64,0.70,0.70,2.41,0.00,2.41,0.047,0.027,0.0,1482.0
14,thorax,-1.53,1.06,1.06,2.59,0.00,2.59,0.044,0.030,0.0,1482.0
16,left_foot,-0.43,4.92,-1.94,5.35,6.86,1.51,0.010,0.033,2.7,1710.0
16,right_foot,-0.55,4.92,-1.94,5.48,6.86,1.39,0.012,0.033,2.0,1710.0
16,left_shank,0.00,6.06,6.06,6.03,0.00,6.03,0.000,0.053,4.7,2052.0
16,right_shank,0.25,6.06,6.06,5.81,0.00,5.81,0.002,0.052,0.8,2052.0
