load_kg,phase,hold_tick,posture_scale,limit_scale,posture_guard_scale,raw_ankle_deg,guarded_ankle_deg,applied_ankle_deg,raw_authority_fraction,guarded_authority_fraction,hip_blend_actual,hip_blend_from_raw,hip_offset_deg,trunk_offset_deg,posture_error_rad,posture_error_rate,limit_prox,limit_driver,com_ap,com_ref_ap,cop_desired,cop_measured,contacts
0,1.00,150,0.9887,0.0000,0.0000,29.181,0.000,0.000,1.9454,0.0000,0.0000,1.0000,0.000,0.000,0.18109,0.00198,0.9524,left_thigh,-0.1527,-0.1172,-0.1247,-0.1508,8
0,1.00,160,0.9849,0.0000,0.0000,30.525,0.000,0.000,2.0350,0.0000,0.0000,1.0000,0.000,0.000,0.18132,0.00263,0.9523,left_thigh,-0.1541,-0.1172,-0.1247,-0.1520,8
0,1.00,170,0.9864,0.0000,0.0000,31.282,0.000,0.000,2.0854,0.0000,0.0000,1.0000,0.000,0.000,0.18157,0.00237,0.9522,left_thigh,-0.1557,-0.1172,-0.1247,-0.1526,8
0,1.00,180,1.0000,0.0000,0.0000,32.380,0.000,0.000,2.1587,0.0000,0.0000,1.0000,0.000,0.000,0.18150,-0.00250,0.9520,left_thigh,-0.1576,-0.1172,-0.1247,-0.1536,8
0,1.00,190,1.0000,0.0000,0.0000,33.628,0.000,0.000,2.2418,0.0000,0.0000,1.0000,0.000,0.000,0.18117,-0.00382,0.9518,left_thigh,-0.1600,-0.1172,-0.1247,-0.1547,8
0,1.00,200,0.9150,0.0000,0.0000,33.594,0.000,0.000,2.2396,0.0000,0.0000,1.0000,0.000,0.000,0.18184,0.01484,0.9517,left_thigh,-0.1630,-0.1172,-0.1248,-0.1547,8
0,1.00,210,0.9768,0.0000,0.0000,33.590,0.000,0.000,2.2393,0.0000,0.0000,1.0000,0.000,0.000,0.18265,0.00405,0.9517,left_thigh,-0.1672,-0.1172,-0.1248,-0.1547,8
0,1.00,220,0.9948,0.0000,0.0000,33.600,0.000,0.000,2.2400,0.0000,0.0000,1.0000,0.000,0.000,0.18286,0.00091,0.9519,left_thigh,-0.1730,-0.1172,-0.1247,-0.1547,8
0,1.00,230,1.0000,0.0000,0.0000,33.565,0.000,0.000,2.2377,0.0000,0.0000,1.0000,0.000,0.000,0.18288,-0.00091,0.9521,left_thigh,-0.1814,-0.1173,-0.1247,-0.1547,8
0,1.00,240,1.0000,0.0000,0.0000,33.493,0.000,0.000,2.2329,0.0000,0.0000,1.0000,0.000,0.000,0.18290,-0.00026,0.9523,left_thigh,-0.1936,-0.1174,-0.1247,-0.1546,5
0,1.00,249,1.0000,0.0000,0.0000,33.536,0.000,0.000,2.2357,0.0000,0.0000,1.0000,0.000,0.000,0.18276,-0.00105,0.9526,left_thigh,-0.2092,-0.1625,-0.1246,-0.1545,6
25,0.55,0,1.0000,1.0000,1.0000,38.286,38.286,4.584,2.5524,2.5524,1.0000,1.0000,2.292,-2.292,0.20440,-0.36850,0.5452,right_thigh,0.9856,0.2622,0.1621,0.1279,8
25,0.55,10,0.0000,0.9236,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.24766,0.84614,0.5729,left_thigh,1.0667,0.2504,0.1475,0.1443,0
25,0.55,20,1.0000,0.8742,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.28993,-0.06594,0.5877,left_thigh,1.0686,0.2504,0.1475,0.1443,0
25,0.55,30,1.0000,0.8524,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.24530,-0.43339,0.5943,left_thigh,1.0651,0.2504,0.1475,0.1443,0
25,0.55,40,0.5308,0.8608,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.24649,0.08188,0.5918,left_thigh,1.0662,0.2504,0.1475,0.1443,0
25,0.55,50,0.9945,0.8563,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.24861,0.00096,0.5931,left_thigh,1.0657,0.2504,0.1475,0.1443,0
25,0.55,60,0.8778,0.8530,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.24997,0.02133,0.5941,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,70,0.9260,0.8512,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25180,0.01291,0.5946,left_thigh,1.0659,0.2504,0.1475,0.1443,0
25,0.55,80,0.9675,0.8492,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25259,0.00568,0.5952,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,90,0.9681,0.8476,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25314,0.00557,0.5957,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,100,0.9725,0.8465,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25367,0.00481,0.5960,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,110,0.9790,0.8457,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25410,0.00367,0.5963,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,120,0.9892,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25438,0.00188,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,130,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,140,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,150,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,160,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,170,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,180,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,190,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,200,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,210,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
25,0.55,220,1.0000,0.8454,0.9736,-14.086,-13.714,0.000,0.9391,0.9143,0.4286,0.5938,0.000,0.000,0.25446,0.00000,0.5964,left_thigh,1.0658,0.2504,0.1475,0.1443,0
