tick,hip_target_deg,hip_actual_deg,hip_track_err_deg,hip_limit_prox,hip_demand,thigh_abdomen_contact,thigh_abdomen_impulse,knee_actual_deg,pelvis_y
354,-111.00,-116.36,5.37,0.970,0.047,0,0.000,123.10,0.4702
355,-111.00,-116.40,5.41,0.970,0.043,0,0.000,123.16,0.4704
356,-111.00,-116.43,5.43,0.970,0.043,0,0.000,123.20,0.4706
357,-111.00,-116.45,5.46,0.970,0.043,0,0.000,123.24,0.4709
358,-111.00,-116.49,5.49,0.971,0.044,0,0.000,123.25,0.4713
359,-111.00,-116.51,5.51,0.971,0.044,0,0.000,123.26,0.4718
360,-111.00,-116.53,5.53,0.971,0.044,0,0.000,123.26,0.4723
361,-111.00,-116.54,5.55,0.971,0.044,0,0.000,123.25,0.4729
362,-111.00,-116.55,5.56,0.971,0.044,0,0.000,123.23,0.4735
363,-111.00,-116.56,5.57,0.971,0.044,0,0.000,123.20,0.4742
364,-110.78,-116.57,5.80,0.971,0.062,0,0.000,123.17,0.4747
365,-110.56,-116.67,6.12,0.972,0.071,0,0.000,123.20,0.4751
366,-110.33,-116.73,6.40,0.973,0.072,0,0.000,123.21,0.4754
367,-110.12,-116.78,6.67,0.973,0.072,0,0.000,123.22,0.4756
368,-109.90,-116.81,6.91,0.973,0.073,0,0.000,123.24,0.4758
369,-109.68,-116.84,7.16,0.974,0.075,0,0.000,123.27,0.4760
370,-109.47,-116.83,7.36,0.974,0.073,0,0.000,123.32,0.4763
371,-109.26,-116.81,7.56,0.973,0.074,0,0.000,123.40,0.4767
372,-109.04,-116.78,7.74,0.973,0.074,0,0.000,123.47,0.4773
373,-108.83,-116.74,7.91,0.973,0.074,0,0.000,123.52,0.4781
374,-108.63,-116.71,8.08,0.973,0.075,0,0.000,123.58,0.4792
375,-108.42,-116.68,8.26,0.972,0.076,0,0.000,123.60,0.4805
376,-108.21,-116.65,8.44,0.972,0.077,0,0.000,123.59,0.4821
377,-108.00,-116.62,8.62,0.972,0.078,0,0.000,123.53,0.4838
378,-107.80,-116.59,8.79,0.972,0.079,0,0.000,123.42,0.4856
379,-107.59,-116.55,8.96,0.971,0.079,0,0.000,123.29,0.4876
380,-107.39,-116.51,9.12,0.971,0.080,0,0.000,123.12,0.4896
381,-107.19,-116.44,9.25,0.970,0.080,0,0.000,122.91,0.4917
382,-106.99,-116.37,9.38,0.970,0.080,0,0.000,122.70,0.4938
383,-106.78,-116.28,9.51,0.969,0.080,0,0.000,122.47,0.4960
384,-106.58,-116.20,9.62,0.968,0.081,0,0.000,122.23,0.4981
385,-106.38,-116.10,9.73,0.968,0.081,0,0.000,121.98,0.5003
386,-106.18,-116.00,9.83,0.967,0.081,0,0.000,121.73,0.5024
387,-105.97,-115.89,9.92,0.966,0.081,0,0.000,121.47,0.5046
388,-105.77,-115.78,10.01,0.965,0.081,0,0.000,121.21,0.5067
389,-105.57,-115.66,10.10,0.964,0.082,0,0.000,120.95,0.5089
390,-105.37,-115.54,10.18,0.963,0.082,0,0.000,120.69,0.5110
391,-105.17,-115.41,10.25,0.962,0.082,0,0.000,120.43,0.5131
392,-104.96,-115.28,10.32,0.961,0.083,0,0.000,120.16,0.5152
393,-104.76,-115.14,10.39,0.960,0.083,0,0.000,119.90,0.5173
394,-104.56,-115.00,10.46,0.958,0.083,0,0.000,119.64,0.5194
395,-104.35,-114.86,10.52,0.957,0.084,0,0.000,119.38,0.5214
396,-104.15,-114.71,10.58,0.956,0.084,0,0.000,119.12,0.5235
397,-103.94,-114.56,10.63,0.955,0.084,0,0.000,118.87,0.5256
398,-103.73,-114.41,10.69,0.953,0.084,0,0.000,118.62,0.5276
399,-103.52,-114.25,10.74,0.952,0.085,0,0.000,118.36,0.5296
