load_kg,config,phase,guard_scale,limit_prox,unexpected_consumed,raw_ankle_deg,applied_ankle_deg,raw_authority,guarded_authority,hip_blend,com_ap,cop_desired,cop_measured,support_min,support_max,com_speed,contacts,held,reason
0,G2+raw,0.80,0.7774,0.8471,0.2226,4.646,3.563,0.3097,0.2408,0.0000,-0.03029,-0.02977,-0.03391,-0.15472,0.13528,0.00193,8,1,HELD
0,G2+raw,0.80,0.7778,0.8470,0.2222,-2.134,1.250,0.1422,0.1106,0.0000,-0.03073,-0.03022,-0.02832,-0.15472,0.13528,0.00119,8,1,HELD
0,G2+raw,0.80,0.7777,0.8470,0.2223,4.543,3.533,0.3028,0.2355,0.0000,-0.03099,-0.03036,-0.03441,-0.15472,0.13528,0.00060,8,1,HELD
0,G2+raw,0.80,0.7778,0.8470,0.2222,4.610,3.533,0.3073,0.2390,0.0000,-0.03115,-0.03044,-0.03455,-0.15472,0.13528,0.00023,8,1,HELD
0,G2+raw,1.00,0.7777,0.9352,0.2223,2.045,1.844,0.1363,0.1060,0.0000,-0.02844,-0.02554,-0.02736,-0.15472,0.13528,0.00203,8,1,HELD
0,G2+raw,1.00,0.4315,0.9676,0.5685,31.333,11.459,2.0889,0.9012,1.0000,-0.02735,-0.00087,-0.02882,-0.15472,0.13528,0.03151,8,1,HELD
0,G2+raw,1.00,0.4093,0.9693,0.5907,5.644,2.553,0.3763,0.1540,0.0000,-0.02456,-0.01448,-0.01952,-0.15472,0.13528,0.00275,8,1,HELD
0,G2+raw,1.00,0.4053,0.9696,0.5947,11.479,4.653,0.7653,0.3102,0.0000,-0.02458,-0.01704,-0.02728,-0.15472,0.13528,0.00128,8,1,HELD
0,G2+raw,1.00,0.4065,0.9695,0.5935,4.893,2.287,0.3262,0.1326,0.0000,-0.02500,-0.01825,-0.02262,-0.15472,0.13528,0.00158,8,1,HELD
0,G2+raw,1.00,0.4071,0.9695,0.5929,11.166,4.545,0.7444,0.3030,0.0000,-0.02538,-0.01877,-0.02873,-0.15472,0.13528,0.00108,8,1,HELD
0,G2+raw,1.00,0.4078,0.9694,0.5922,4.699,2.244,0.3132,0.1278,0.0000,-0.02566,-0.01912,-0.02331,-0.15472,0.13528,0.00067,8,1,HELD
0,G2+raw,1.00,0.4077,0.9694,0.5923,11.124,4.535,0.7416,0.3024,0.0000,-0.02584,-0.01920,-0.02913,-0.15472,0.13528,0.00023,8,1,HELD
0,G2+raw,1.00,0.4085,0.9694,0.5915,4.659,2.240,0.3106,0.1269,0.0000,-0.02595,-0.01936,-0.02351,-0.15472,0.13528,0.00011,8,1,HELD
0,G2+raw,1.00,0.4081,0.9694,0.5919,11.119,4.530,0.7413,0.3025,0.0000,-0.02602,-0.01935,-0.02927,-0.15472,0.13528,0.00014,8,1,HELD
