tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
346,left_shank,122.57,114.00,114.00,8.57,0.00,8.57,0.845,0.052,9.6,2565.0
346,right_shank,123.12,114.00,114.00,9.12,0.00,9.12,0.849,0.054,9.0,2565.0
346,left_thigh,-114.76,-111.00,-111.00,3.77,0.18,3.77,0.956,0.029,0.0,2565.0
346,right_thigh,-115.38,-111.00,-111.00,4.38,0.18,4.38,0.961,0.031,0.1,2565.0
346,abdomen,16.54,6.40,6.40,10.15,0.00,10.15,0.368,0.069,0.0,1852.5
346,thorax,16.83,9.59,9.59,7.25,0.00,7.25,0.337,0.056,0.0,1852.5
348,left_foot,-47.00,-27.00,-27.00,20.02,0.28,20.03,1.000,0.109,97.3,2137.5
348,right_foot,-46.92,-27.00,-27.00,19.95,0.28,19.96,1.000,0.109,92.6,2137.5
348,left_shank,123.09,114.00,114.00,9.09,0.00,9.09,0.849,0.054,11.1,2565.0
348,right_shank,123.58,114.00,114.00,9.58,0.00,9.58,0.852,0.053,11.0,2565.0
348,left_thigh,-114.78,-111.00,-111.00,3.79,0.00,3.79,0.957,0.030,0.0,2565.0
348,right_thigh,-115.37,-111.00,-111.00,4.37,0.00,4.37,0.961,0.030,0.0,2565.0
348,abdomen,16.45,6.40,6.40,10.07,0.00,10.07,0.366,0.065,0.0,1852.5
348,thorax,17.06,9.59,9.59,7.48,0.00,7.48,0.341,0.057,0.1,1852.5
350,left_foot,-46.89,-27.00,-27.00,19.91,0.17,19.92,1.000,0.102,91.7,2137.5
350,right_foot,-46.81,-27.00,-27.00,19.83,0.17,19.84,1.000,0.102,85.1,2137.5
350,left_shank,123.55,114.00,114.00,9.55,0.00,9.55,0.852,0.053,10.3,2565.0
350,right_shank,123.98,114.00,114.00,9.98,0.00,9.98,0.855,0.051,10.1,2565.0
350,left_thigh,-114.81,-111.00,-111.00,3.81,0.00,3.81,0.957,0.030,0.0,2565.0
350,right_thigh,-115.37,-111.00,-111.00,4.37,0.00,4.37,0.961,0.030,0.0,2565.0
350,abdomen,16.36,6.40,6.40,9.97,0.00,9.97,0.364,0.064,0.0,1852.5
350,thorax,17.18,9.59,9.59,7.60,0.00,7.60,0.344,0.055,0.1,1852.5
352,left_foot,-46.70,-27.00,-27.00,19.72,0.00,19.73,1.000,0.099,75.3,2137.5
352,right_foot,-46.61,-27.00,-27.00,19.63,0.00,19.64,1.000,0.100,68.2,2137.5
352,left_shank,123.81,114.00,114.00,9.81,0.00,9.81,0.854,0.049,9.0,2565.0
352,right_shank,124.16,114.00,114.00,10.16,0.00,10.16,0.856,0.047,8.9,2565.0
352,left_thigh,-114.87,-111.00,-111.00,3.87,0.00,3.87,0.957,0.031,0.0,2565.0
352,right_thigh,-115.38,-111.00,-111.00,4.38,0.00,4.38,0.961,0.030,0.0,2565.0
352,abdomen,16.26,6.40,6.40,9.87,0.00,9.87,0.361,0.064,0.0,1852.5
352,thorax,17.19,9.59,9.59,7.61,0.00,7.61,0.344,0.052,0.0,1852.5
354,left_foot,-46.53,-27.00,-27.00,19.55,0.00,19.55,1.000,0.099,60.4,2137.5
354,right_foot,-46.44,-27.00,-27.00,19.46,0.00,19.46,1.000,0.100,53.4,2137.5
354,left_shank,123.87,114.00,114.00,9.87,0.00,9.87,0.854,0.045,7.5,2565.0
354,right_shank,124.13,114.00,114.00,10.13,0.00,10.13,0.856,0.043,7.8,2565.0
354,left_thigh,-114.95,-111.00,-111.00,3.95,0.00,3.95,0.958,0.031,0.0,2565.0
354,right_thigh,-115.40,-111.00,-111.00,4.40,0.00,4.40,0.962,0.030,0.0,2565.0
354,abdomen,16.17,6.40,6.40,9.78,0.00,9.78,0.359,0.064,0.0,1852.5
