tick,hip_left_deg,hip_right_deg,physx_contact,physx_impulse,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_offset_sum_m,hip_track_err_deg
249,74.85,71.91,1,13.820,1,0.00360,0.00000,1,0.00296,0.00000,0.0200,19.94
250,74.96,71.97,1,14.000,1,0.00365,0.00000,1,0.00299,0.00000,0.0200,20.20
251,75.07,72.03,1,14.173,1,0.00370,0.00000,1,0.00303,0.00000,0.0200,20.46
252,75.17,72.09,1,14.341,1,0.00374,0.00000,1,0.00306,0.00000,0.0200,20.72
253,75.28,72.15,1,14.515,1,0.00379,0.00000,1,0.00310,0.00000,0.0200,20.97
254,75.39,72.21,1,14.688,1,0.00384,0.00000,1,0.00313,0.00000,0.0200,21.22
255,75.49,72.27,1,14.850,1,0.00388,0.00000,1,0.00317,0.00000,0.0200,21.47
256,75.60,72.33,1,15.019,1,0.00393,0.00000,1,0.00320,0.00000,0.0200,21.71
257,75.70,72.40,1,15.188,1,0.00397,0.00000,1,0.00324,0.00000,0.0200,21.95
258,75.81,72.46,1,15.345,1,0.00402,0.00000,1,0.00327,0.00000,0.0200,22.18
259,75.91,72.52,1,15.510,1,0.00406,0.00000,1,0.00331,0.00000,0.0200,22.42
260,76.02,72.59,1,15.676,1,0.00410,0.00000,1,0.00335,0.00000,0.0200,22.64
261,76.13,72.66,1,15.825,1,0.00414,0.00000,1,0.00338,0.00000,0.0200,22.86
262,76.24,72.72,1,15.968,1,0.00418,0.00000,1,0.00341,0.00000,0.0200,23.08
263,76.34,72.78,1,16.120,1,0.00423,0.00000,1,0.00345,0.00000,0.0200,23.30
264,76.45,72.85,1,16.273,1,0.00426,0.00000,1,0.00348,0.00000,0.0200,23.50
265,76.55,72.92,1,16.411,1,0.00430,0.00000,1,0.00351,0.00000,0.0200,23.71
266,76.65,72.98,1,16.562,1,0.00434,0.00000,1,0.00355,0.00000,0.0200,23.91
267,76.76,73.05,1,16.711,1,0.00438,0.00000,1,0.00359,0.00000,0.0200,24.10
268,76.87,73.12,1,16.841,1,0.00441,0.00000,1,0.00362,0.00000,0.0200,24.28
269,76.97,73.19,1,16.805,1,0.00419,0.00000,1,0.00358,0.00000,0.0200,24.48
270,77.08,73.21,1,17.990,1,0.00424,0.00000,1,0.00327,0.00000,0.0200,24.70
271,77.32,73.45,1,18.146,1,0.00429,0.00000,1,0.00333,0.00000,0.0200,24.67
272,77.52,73.58,1,18.135,1,0.00427,0.00000,1,0.00334,0.00000,0.0200,24.78
