tick,hip_left_deg,hip_right_deg,physx_contact,physx_impulse,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_offset_sum_m,hip_track_err_deg
111,35.08,35.43,0,0.000,0,0.00000,0.04357,0,0.00000,0.04491,0.0200,7.31
112,35.52,35.88,0,0.000,0,0.00000,0.04298,0,0.00000,0.04430,0.0200,7.37
113,35.98,36.34,0,0.000,0,0.00000,0.04241,0,0.00000,0.04370,0.0200,7.41
114,36.44,36.80,0,0.000,0,0.00000,0.04180,0,0.00000,0.04307,0.0200,7.46
115,36.90,37.27,0,0.000,0,0.00000,0.04120,0,0.00000,0.04245,0.0200,7.50
116,37.37,37.74,0,0.000,0,0.00000,0.04059,0,0.00000,0.04183,0.0200,7.54
117,37.84,38.21,0,0.000,0,0.00000,0.03996,0,0.00000,0.04117,0.0200,7.58
118,38.32,38.69,0,0.000,0,0.00000,0.03933,0,0.00000,0.04053,0.0200,7.62
119,38.80,39.17,0,0.000,0,0.00000,0.03869,0,0.00000,0.03987,0.0200,7.65
120,39.28,39.66,0,0.000,0,0.00000,0.03803,0,0.00000,0.03919,0.0200,7.68
121,39.77,40.15,0,0.000,0,0.00000,0.03738,0,0.00000,0.03852,0.0200,7.71
122,40.26,40.64,0,0.000,0,0.00000,0.03670,0,0.00000,0.03781,0.0200,7.74
123,40.76,41.14,0,0.000,0,0.00000,0.03602,0,0.00000,0.03711,0.0200,7.76
124,41.26,41.64,0,0.000,0,0.00000,0.03531,0,0.00000,0.03639,0.0200,7.79
125,41.77,42.15,0,0.000,0,0.00000,0.03462,0,0.00000,0.03567,0.0200,7.80
126,42.27,42.66,0,0.000,0,0.00000,0.03390,0,0.00000,0.03493,0.0200,7.82
127,42.78,43.17,0,0.000,0,0.00000,0.03318,0,0.00000,0.03420,0.0200,7.83
128,43.30,43.68,0,0.000,0,0.00000,0.03244,0,0.00000,0.03344,0.0200,7.84
129,43.82,44.20,0,0.000,0,0.00000,0.03171,0,0.00000,0.03269,0.0200,7.85
130,44.33,44.72,0,0.000,0,0.00000,0.03097,0,0.00000,0.03192,0.0200,7.86
131,44.86,45.25,0,0.000,0,0.00000,0.03023,0,0.00000,0.03116,0.0200,7.86
132,45.38,45.77,0,0.000,0,0.00000,0.02945,0,0.00000,0.03037,0.0200,7.86
133,45.91,46.30,0,0.000,0,0.00000,0.02869,0,0.00000,0.02958,0.0200,7.86
134,46.44,46.83,0,0.000,0,0.00000,0.02789,0,0.00000,0.02876,0.0200,7.85
135,46.97,47.37,0,0.000,0,0.00000,0.02710,0,0.00000,0.02795,0.0200,7.84
