load_kg,config,tick,sq,com_ap,com_speed,support_min,support_max,guard_scale,limit_prox,unexpected_consumed,raw_ankle_deg,applied_ankle_deg,raw_authority,hip_blend,pelvis_y,contacts
0,G2+raw,130,0.3900,-0.02822,0.00620,-0.15472,0.13528,0.8678,0.3639,0.0789,0.645,4.470,0.0430,0.0000,0.88317,8
0,G2+raw,140,0.4200,-0.02838,0.00542,-0.15472,0.13528,0.9069,0.4082,0.0931,-0.195,2.943,0.0130,0.0000,0.86210,8
0,G2+raw,150,0.4500,-0.02867,0.00458,-0.15472,0.13528,0.8922,0.4540,0.1078,3.281,2.927,0.2187,0.0000,0.83843,8
0,G2+raw,160,0.4800,-0.02887,0.00314,-0.15472,0.13528,0.8773,0.5001,0.1227,-0.914,2.274,0.0610,0.0000,0.81276,8
0,G2+raw,170,0.5100,-0.02914,0.00262,-0.15472,0.13528,0.8623,0.5455,0.1377,0.155,1.844,0.0103,0.0000,0.78581,8
0,G2+raw,180,0.5400,-0.02933,0.00110,-0.15472,0.13528,0.7481,0.5891,0.1526,1.189,1.844,0.0793,0.0000,0.75841,8
0,G2+raw,190,0.5700,-0.02938,0.00151,-0.15472,0.13528,0.7595,0.6308,0.1658,0.464,1.844,0.0309,0.0000,0.73082,8
0,G2+raw,200,0.6000,-0.02935,0.00228,-0.15472,0.13528,0.2501,0.6686,0.1848,11.569,2.893,0.7712,0.0000,0.70430,8
0,G2+raw,210,0.6300,-0.02838,0.02272,-0.15472,0.13528,0.0767,0.6907,0.2102,44.196,3.392,2.9464,1.0000,0.68860,8
0,G2+raw,220,0.6600,-0.02553,0.02150,-0.15472,0.13528,0.7788,0.6989,0.2212,-13.157,7.041,0.8771,0.1809,0.68555,8
0,G2+raw,230,0.6900,-0.02487,0.00714,-0.15472,0.13528,0.7931,0.7091,0.2069,0.275,2.099,0.0183,0.0000,0.68039,8
0,G2+raw,240,0.7200,-0.02483,0.00386,-0.15472,0.13528,0.8065,0.7250,0.1935,3.535,2.851,0.2357,0.0000,0.66713,8
0,G2+raw,250,0.7500,-0.02545,0.00838,-0.15472,0.13528,0.8121,0.7466,0.1879,0.941,1.660,0.0627,0.0000,0.64761,8
0,G2+raw,260,0.7800,-0.02632,0.01059,-0.15472,0.13528,0.8095,0.7724,0.1905,8.001,3.017,0.5334,0.0000,0.62442,8
0,G2+raw,270,0.8100,-0.02707,0.00738,-0.15472,0.13528,0.6631,0.8001,0.1979,7.794,3.962,0.5196,0.0000,0.59967,8
0,G2+raw,280,0.8400,-0.02762,0.00537,-0.15472,0.13528,0.4797,0.8268,0.2085,7.307,3.505,0.4871,0.0000,0.57582,8
0,G2+raw,290,0.8700,-0.02790,0.00049,-0.15472,0.13528,0.6072,0.8497,0.2196,9.064,5.132,0.6043,0.0000,0.55560,8
0,G2+raw,300,0.9000,-0.02795,0.00129,-0.15472,0.13528,0.7751,0.8701,0.2249,5.336,4.136,0.3558,0.0000,0.53796,8
0,G2+raw,310,0.9300,-0.02803,0.00148,-0.15472,0.13528,0.7745,0.8892,0.2255,6.583,4.136,0.4389,0.0000,0.52068,8
