case,step,time_s,bar_y,bar_z,bar_vy,bar_vz,pelvis_y,pelvis_z,pelvis_vy,pelvis_vz,thorax_y,thorax_z,trunk_pitch_deg,ke,saddle_sep,saddle_att,contacts,com_ap,cop_ap,abd_bias_deg,tho_bias_deg,abd_tgt_rate,tho_tgt_rate,abd_act_deg,tho_act_deg,abd_demand,tho_demand,ankle_bal_deg
R00,23,0.230,1.1042,-0.1569,-0.7200,-0.0579,0.9392,0.1303,-0.0762,0.0009,1.2014,-0.0325,-31.83,41.5,0.0518,1,8,-0.0665,-0.0178,-0.43,0.10,0.0941,0.1412,-30.38,-22.63,0.1824,0.1436,0.00
R00,24,0.240,1.0970,-0.1575,-0.7068,-0.0677,0.9382,0.1303,-0.0874,-0.0181,1.1967,-0.0348,-32.56,40.3,0.0517,1,8,-0.0670,-0.0173,-0.45,0.11,0.0941,0.1412,-31.00,-22.97,0.1845,0.1437,0.00
R00,25,0.250,1.0901,-0.1582,-0.6949,-0.0629,0.9374,0.1300,-0.0815,-0.0451,1.1923,-0.0371,-33.26,39.2,0.0518,1,8,-0.0677,-0.0172,-0.47,0.11,0.0941,0.1412,-31.64,-23.31,0.1879,0.1462,0.00
R00,26,0.260,1.0833,-0.1589,-0.6726,-0.0726,0.9364,0.1296,-0.0877,-0.0605,1.1877,-0.0394,-33.93,37.5,0.0518,1,8,-0.0684,-0.0175,-0.49,0.12,0.0951,0.1426,-32.22,-23.61,0.1899,0.1470,0.00
R00,27,0.270,1.0768,-0.1595,-0.6562,-0.0657,0.9356,0.1290,-0.0779,-0.0878,1.1834,-0.0420,-34.59,36.3,0.0518,1,8,-0.0691,-0.0182,-0.51,0.12,0.0951,0.1426,-32.82,-23.91,0.1936,0.1489,0.00
R00,28,0.280,1.0704,-0.1603,-0.6301,-0.0838,0.9345,0.1284,-0.1036,-0.0618,1.1792,-0.0446,-35.27,34.2,0.0516,1,8,-0.0699,-0.0185,-0.53,0.13,0.0951,0.1426,-33.39,-24.16,0.1954,0.1492,0.00
R00,29,0.290,1.0644,-0.1611,-0.6010,-0.0823,0.9334,0.1276,-0.1138,-0.0805,1.1756,-0.0476,-35.88,31.7,0.0517,1,8,-0.0708,-0.0191,-0.54,0.13,0.0951,0.1426,-33.86,-24.37,0.1914,0.1466,0.00
R00,30,0.300,1.0586,-0.1620,-0.5698,-0.1029,0.9324,0.1267,-0.1080,-0.0919,1.1718,-0.0504,-36.48,29.5,0.0515,1,8,-0.0717,-0.0190,-0.56,0.13,0.0956,0.1433,-34.09,-24.47,0.1811,0.1448,0.00
R00,31,0.310,1.0533,-0.1631,-0.5374,-0.1219,0.9313,0.1256,-0.1010,-0.1037,1.1687,-0.0532,-36.97,27.3,0.0517,1,8,-0.0727,-0.0191,-0.58,0.14,0.0956,0.1433,-34.42,-24.52,0.1857,0.1452,0.00
R00,32,0.320,1.0482,-0.1643,-0.4959,-0.1333,0.9303,0.1243,-0.0968,-0.1216,1.1653,-0.0562,-37.53,24.7,0.0514,1,8,-0.0739,-0.0182,-0.60,0.14,0.0956,0.1433,-34.54,-24.53,0.1816,0.1458,0.00
