tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
34,left_foot,-2.37,2.43,-4.19,4.81,6.63,1.83,0.053,0.031,3.1,1710.0
34,right_foot,-2.49,2.43,-4.19,4.92,6.63,1.71,0.055,0.032,2.3,1710.0
34,left_shank,5.66,12.98,12.98,7.33,0.00,7.33,0.039,0.052,4.7,2052.0
34,right_shank,5.87,12.98,12.98,7.11,0.00,7.11,0.040,0.051,0.9,2052.0
34,left_thigh,-4.93,-12.01,-12.01,7.08,0.00,7.08,0.041,0.057,0.0,2052.0
34,right_thigh,-5.02,-12.01,-12.01,6.99,0.00,6.99,0.042,0.057,0.0,2052.0
34,abdomen,-0.79,1.78,1.78,2.63,0.00,2.63,0.023,0.022,0.0,1482.0
34,thorax,-0.40,2.66,2.66,3.06,0.00,3.06,0.011,0.027,0.0,1482.0
36,left_foot,-2.62,2.49,-4.45,5.11,6.94,1.84,0.058,0.033,3.1,1710.0
36,right_foot,-2.74,2.49,-4.45,5.23,6.94,1.72,0.061,0.034,2.3,1710.0
36,left_shank,6.41,13.77,13.77,7.36,0.00,7.36,0.044,0.052,4.7,2052.0
36,right_shank,6.63,13.77,13.77,7.14,0.00,7.14,0.046,0.051,0.8,2052.0
36,left_thigh,-5.61,-12.74,-12.74,7.13,0.00,7.13,0.047,0.057,0.0,2052.0
36,right_thigh,-5.71,-12.74,-12.74,7.03,0.00,7.03,0.048,0.056,0.0,2052.0
36,abdomen,-0.62,1.89,1.89,2.57,0.00,2.57,0.018,0.021,0.0,1482.0
36,thorax,-0.21,2.83,2.83,3.04,0.00,3.04,0.006,0.026,0.0,1482.0
38,left_foot,-2.87,2.49,-4.71,5.37,7.86,1.84,0.064,0.035,3.0,1710.0
38,right_foot,-2.99,2.49,-4.71,5.48,7.86,1.72,0.066,0.036,2.3,1710.0
38,left_shank,7.19,14.56,14.56,7.37,0.00,7.37,0.050,0.052,4.7,2052.0
38,right_shank,7.41,14.56,14.56,7.15,0.00,7.15,0.051,0.051,0.8,2052.0
38,left_thigh,-6.30,-13.47,-13.47,7.17,0.00,7.17,0.052,0.057,0.0,2052.0
38,right_thigh,-6.40,-13.47,-13.47,7.07,0.00,7.07,0.053,0.056,0.0,2052.0
38,abdomen,-0.44,1.99,1.99,2.50,0.00,2.51,0.013,0.020,0.0,1482.0
38,thorax,0.00,2.99,2.99,3.01,0.00,3.01,0.000,0.025,0.0,1482.0
40,left_foot,-3.12,2.49,-4.96,5.62,7.86,1.85,0.069,0.037,3.1,1710.0
40,right_foot,-3.24,2.49,-4.96,5.74,7.86,1.73,0.072,0.037,2.3,1710.0
40,left_shank,7.98,15.36,15.36,7.38,0.00,7.38,0.055,0.051,4.7,2052.0
40,right_shank,8.21,15.36,15.36,7.15,0.00,7.15,0.057,0.050,0.8,2052.0
40,left_thigh,-7.01,-14.21,-14.21,7.20,0.00,7.20,0.058,0.057,0.0,2052.0
40,right_thigh,-7.12,-14.21,-14.21,7.09,0.00,7.09,0.059,0.056,0.0,2052.0
40,abdomen,-0.25,2.10,2.10,2.43,0.00,2.43,0.007,0.019,0.0,1482.0
40,thorax,0.19,3.16,3.16,2.96,0.00,2.96,0.004,0.025,0.0,1482.0
42,left_foot,-3.37,2.49,-5.22,5.86,7.83,1.86,0.075,0.038,3.1,1710.0
42,right_foot,-3.49,2.49,-5.22,5.99,7.83,1.73,0.078,0.039,2.3,1710.0
42,left_shank,8.77,16.15,16.15,7.38,0.00,7.38,0.061,0.051,4.7,2052.0
42,right_shank,9.01,16.15,16.15,7.14,0.00,7.14,0.062,0.050,0.8,2052.0
42,left_thigh,-7.73,-14.94,-14.94,7.21,0.00,7.21,0.064,0.056,0.0,2052.0
42,right_thigh,-7.85,-14.94,-14.94,7.09,0.00,7.09,0.065,0.056,0.0,2052.0
42,abdomen,-0.06,2.21,2.21,2.34,0.00,2.34,0.002,0.017,0.0,1482.0
